Credit Union Name,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NUMBER OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,TOTAL OTHER LOANS,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
State Credit Union average,449120970.7,388938809.8,35035.61702,115790423.4,5748.06383,69607087.23,212921.1489,21865.3617,323520473.1,366804860.7,67493913.53,3458.87234,0,61720620.55,23068.53191,3574.170213,5261.957447,2018,2
Peer Credit Union average,1575592310,1316655133,118273.5071,302211968.4,17325.15214,187696562,1478373.575,70574.29952,1138231012,1156712355,159520107.3,8383.568938,0,226267554.6,62792.66403,7616.500792,56591.76228,2018,2
Credit Union One,971924659,867670820,68603,170340299,10564,357194019,96304,32924,730659161,858429813,84440689,5487,0,142960973,48900,4022,6695,2020,2
State Credit Union average,540735297.8,463109244.3,36286.88,121269937.1,5398.66,84803083.88,144135.64,21103.36,340885943.7,433151168.5,62884748.56,3586.74,0,62394033.24,24453.1,3429.18,10799.72,2020,2
Peer Credit Union average,1967025583,1672561907,128260.8901,371409624.7,18610.59184,286112525.3,1105202.336,73151.89796,1304580634,1492570796,160067123.3,9345.855573,0,251794006.3,80787.48038,7690.315542,43668.28257,2020,2
Credit Union One,1043421646,931663285,69875,175553904,10394,385791882,219392,32935,729462679,918292545,90696281,5375,0,141368440,50442,4145,1254,2020,4
State Credit Union average,586671559,511964103.6,37173.48,133478159.3,5432.5,131304929.9,161201.66,21292.66,345499836.4,486054878.5,63505439.4,3591.68,0,64685657,25300.76,3345.72,6332.16,2020,4
Peer Credit Union average,1949097165,1678874272,122788.4172,392191484.6,18604.06406,299054527.4,804799.9234,70175.38594,1259125690,1526750589,153982904.9,9391.542188,0,253371721.2,74850.66563,7636.073438,51294.60781,2020,4
Credit Union One,863118783,755705868,68471,162293689,10610,294574584,331456,33515,695877560,747092408,80692363,5516,0,142124374,48977,3938,52812,2020,1
State Credit Union average,379706800.2,331388171.4,29488.2766,83613207.64,5386.12766,69025411.91,146298.1915,17993.31915,275233953.2,303909449,47990876.32,2379.553191,0,60682975.49,18539.51064,2585.808511,8862.765957,2020,1
Peer Credit Union average,1920054316,1601574627,132846.2358,352579774.9,19447.48428,256343786.4,1874298.508,78190.29088,1335577474,1394076635,167214759.7,9724.649371,0,257557205.3,82414.11635,8146.150943,60344.12107,2020,1
Credit Union One,1298515366,1135056805,76931,427777800,10185,374232907,325302,37528,1048654040,1127692456,124518890,9032,0,163719941,59752,5013,5373,2023,3
State Credit Union average,722168847,618092227.3,44771.93333,157255273.1,6238.955556,172010963.5,326193.2667,22993.4,476947594.6,588095142,74973715.4,5343.933333,0,84598978.8,31646.48889,3353.688889,15773.24444,2023,3
Peer Credit Union average,2452642508,2044993957,142603.7686,399642567.3,22321.95342,412618330.5,1300250.958,83022.80901,1788893624,1861023285,191402938.6,11224.59472,0,353588373.9,87531.64441,8269.967391,48007.27174,2023,3
Credit Union One,774766101,686916893,64929,195148218,9564,217910520,342176,31965,617796991,675810356,66915695,5914,0,123920881,44610,3575,15049,2019,1
State Credit Union average,447018481.5,385459953.3,34676,113500387.7,5594.152174,67985825.57,230223.8913,21420.5,324180909.4,360985235.8,65006860.48,3556.086957,0,61605829.57,23278.95652,3459.086957,8288.934783,2019,1
Peer Credit Union average,1707498155,1431357956,125428.4345,307100020.6,18621.71885,200884915.9,1691342.506,75514.90096,1227288900,1239420230,169505744.3,8860.678914,0,245323392.8,67261.34345,8081.940895,61996.82588,2019,1
Credit Union One,464346657,428443268,46223,161457389,4832,92614137,162268,20387,301509334,403243921,42344132,6883,0,50152878,31732,2678,0,2013,4
State Credit Union average,204693747.6,182897234,18719,57070188.63,3422.913043,28082612.39,83285.97826,11355.54348,135185064.5,166886765.1,21150000.15,1938.717391,0,31034464.39,10858.45652,1287.891304,8193.369565,2013,4
Peer Credit Union average,1121130911,955239620,91986.42404,250656098.7,11536.0384,123480226.6,903971.9199,50449.38731,692950371.5,840546987.4,77802302.39,8529.459098,0,127851807.1,53281.42237,4298.539232,28894.42905,2013,4
Credit Union One,1000790340,894102329,69431,174892442,10531,361802192,272979,33385,744980842,877561741,88042612,5430,0,144002352,49713,4078,1976,2020,3
State Credit Union average,606996210.5,525983120.4,39611.08889,137084580.5,5824.955556,125690774.5,177683.2667,22858.06667,370621928.8,496345882.4,67068250.4,3764.333333,0,68734164.11,27085.75556,3618.933333,12743.31111,2020,3
Peer Credit Union average,2076707676,1767463247,134875.1094,406261335.7,19220.48382,301446703,1223201.39,77309.97689,1374309507,1588095061,161354290.4,10078.24653,0,261909457.9,84396.32203,7830.397535,42021.91525,2020,3
Credit Union One,1266038258,1123322659,74926,211013727,10083,455660329,152206,35739,957834417,1111359532,126040304,5048,0,158469332,58266,5034,19626,2022,4
State Credit Union average,696917695.5,599320042,42345.19565,146732681.9,6267.934783,175748998.9,252521.413,23672.13043,456128334.8,572356475,78761383.54,3836.26087,0,85930972.13,29668.54348,3506.217391,20100.95652,2022,4
